Title,Salutation,Surname,First Name,Other Names,Preferred Name,Initials,Telephone,Fax,Electorate,State,Political Party,Gender,Honorific,ElectorateAddressLine1,ElectorateAddressLine2,ElectorateSuburb,ElectorateState,ElectoratePostCode,ElectorateTelephone,LabelAddress,LabelSuburb,LabelState,LabelPostCode,Parliamentary Title
Senator the Hon,Senator,Abetz,Eric,,Eric,E.,(02) 6277 3019,(02) 6277 5872,,TAS,LP,MALE,,Highbury House,136 Davey Street,Hobart,Tas,7000,(03) 6224 3707,GPO Box 1675,Hobart,Tas,7001,
Senator,Senator,Antic,Alexander,,Alex,A.,(02) 6277 3464,,,SA,LP,MALE,,"Commonwealth Parliament Offices, Suite 8","Level 13, 100 King William Street",Adelaide,SA,5000,(08) 8205 1080,"Commonwealth Parliament Offices, Suite 8, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator,Senator,Askew,Wendy,Anne,Wendy,W.A.,(02) 6277 3204,,,TAS,LP,FEMALE,,"Suite 1,",71 Paterson Street,Launceston,TAS,7250,(03) 6331 8501,PO Box 97,Launceston,TAS,7250,
Senator,Senator,Ayres,Timothy,,Tim,T.,(02) 6277 3469,,,NSW,ALP,MALE,,"Commonwealth Parliament Offices, Level 21 Suite 6",1 Bligh Street,Sydney,NSW,2000,(02) 8289 9760,GPO Box 36,Sydney,NSW,2000,
Senator,Senator,Bernardi,Cory,,Cory,C.,(02) 6277 3278,(02) 6277 5783,,SA,IND,MALE,,36 Grenfell Street,,Kent Town,SA,5067,(08) 8362 8600,PO Box 2192,Kent Town,SA,5071,
Senator,Senator,Bilyk,Catryna,Louise,Catryna,C. L.,(02) 6277 3349,(02) 6277 5799,,TAS,ALP,FEMALE,,"Shop 3, Kingston Plaza",20 Channel Highway,Kingston,Tas,7050,(03) 6229 4444,PO Box 320,Kingston,Tas,7051,
Senator the Hon,Senator,Birmingham,Simon,John,Simon,S. J.,(02) 6277 7420,,,SA,LP,MALE,,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,107 Sir Donald Bradman Drive,Hilton,SA,5033,"Minister for Trade, Tourism and Investment, Deputy Leader of the Government in the Senate"
Senator,Senator,Bragg,Andrew,James,Andrew,A.J.,(02) 6277 3479,,,NSW,LP,MALE,,"Commonwealth Parliament Offices,  Level 19 Suite 1,",1 Bligh Street,Sydney,NSW,2000,(02) 8289 9110,GPO Box 36,Sydney,NSW,2000,
Senator,Senator,Brockman,Slade,William Edward,Slade,S.,(02) 6277 3764,,,WA,LP,MALE,,"Level 40, Exchange Tower",2 The Esplanade,Perth,WA,6000,(08) 6245 3305,"Level 40, Exchange Tower, 2 The Esplanade",Perth,WA,6000,Deputy Government Whip in the Senate
Senator,Senator,Brown,Carol,Louise,Carol,C. L.,(02) 6277 3336,(02) 6277 3660,,TAS,ALP,FEMALE,,"AMP Building, Ground Floor",27 Elizabeth Street,Hobart,Tas,7001,(03) 6231 0099,GPO Box 376,Hobart,Tas,7001,
Senator the Hon,Senator,Canavan,Matthew,James,Matthew,M.J.,(02) 6277 7180,,,QLD,Nats,MALE,,Ground Floor,34 East Street,Rockhampton,Qld,4700,(07) 4927 2003,PO Box 737,Rockhampton,Qld,4700,"Minister for Resources and Northern Australia, Deputy Leader of The Nationals in the Senate"
Senator the Hon,Senator,Carr,Kim,John,Kim,K. J.,(02) 6277  3776,(02) 6277 5837,,VIC,ALP,MALE,,62 Lygon Street,,Carlton South,Vic,3053,(03) 9639 2798,62 Lygon Street,Carlton South,Vic,3053,
Senator the Hon,Senator,Cash,Michaelia,Clare,Michaelia,M.C.,(02) 6277 7610,,,WA,LP,FEMALE,,44 Outram Street,,West Perth,WA,6005,(08) 9226 2000,PO Box 1966,West Perth,WA,6872,"Minister for Employment, Skills, Small and Family Business"
Senator,Senator,Chandler,Claire,,Claire,C.,(02) 6277 3542,,,TAS,LP,FEMALE,,152 Macquarie Street,,Hobart,TAS,7000,(03) 6223 1135,GPO Box 271,Hobart,TAS,7001,
Senator,Senator,Chisholm,Anthony,,Anthony,A.,(02) 6277 3103,(02) 6277 5772,,QLD,ALP,MALE,,Crossroads,454 Gympie Road,Strathpine,QLD,4500,(07) 3881 3710,PO Box 2246,Strathpine,QLD,4500,
Senator,Senator,Ciccone,Raff,,Raff,R.,(02) 6277 3226,,,VIC,ALP,MALE,,"Ground Floor, 1013 Whitehorse Road",,Box Hill,VIC,3128,(03) 9890 7022,"Ground Floor, 1013 Whitehorse Road",Box Hill,VIC,3128,Deputy Opposition Whip in the Senate
Senator the Hon,Senator,Colbeck,Richard,Mansell,Richard,R.M.,(02) 6277 7720,,,TAS,LP,MALE,,5-7 Best Street,,Devonport,TAS,7310,(03) 6424 5960,PO Box 603,Devonport,TAS,7310,"Minister for Aged Care and Senior Australians, Minister for Youth and Sport"
Senator the Hon,Senator,Cormann,Mathias,Hubert Paul,Mathias,M.H.P.,(02) 6277 7400,(02) 6273 4110,,WA,LP,MALE,,"Level 38, Exchange Plaza",2 The Esplanade,Perth,WA,6000,(08) 9325 4227,GPO Box B58,Perth,WA,6838,"Minister for Finance, Vice-President of the Executive Council, Leader of the Government in the Senate"
Senator,Senator,Davey,Perin,McGregor,Perin,P.M.,(02) 6277 3565,,,NSW,Nats,FEMALE,,217 Cressy Street,,Deniliquin,NSW,2710,1300 301 816,217 Cressy Street,Deniliquin,NSW,2710,The Nationals Whip in the Senate
Senator,Senator,Di Natale,Richard,,Richard,R.,(02) 6277 3170,(02) 6277 3185,,VIC,AG,MALE,,Level 14,90 Collins Street,Melbourne,VIC,3000,(03) 9654 0430,"Level 14, 90 Collins Street",Melbourne,VIC,3000,Leader of the Australian Greens
Senator,Senator,Dodson,Patrick,,Patrick,P.,(02) 6277 3746,(02) 6277 5905,,WA,ALP,MALE,,Unit 1,23 Coghlan St,Djugun,WA,6725,(08) 9193 5955,PO Box 3490,Broome,WA,6725,
Senator the Hon,Senator,Duniam,Jonathon,Roy,Jonathon,J.R.,(02) 6277 3034,(02) 6277 5709,,TAS,LP,MALE,,85 Macquarie Street,,Hobart,TAS,7000,(03)  6231 2444,GPO Box 453,Hobart,TAS,7001,"Assistant Minister for Forestry and Fisheries, Assistant Minister for Regional Tourism"
Senator the Hon,Senator,Farrell,Donald,Edward,Don,D. E.,(02) 6277 3053,(02) 6277 5721,,SA,ALP,MALE,,Wave Building,"Level 5, 19 Gilles Street",Adelaide,SA,5000,(08)  8231 8400,PO Box 6338,Halifax Street,SA,5000,
Senator,Senator,Faruqi,Mehreen,,Mehreen,M.,(02) 6277 3095,,,NSW,AG,FEMALE,,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9211 1500,72 Campbell Street,Surry Hills,NSW,2010,
Senator the Hon,Senator,Fawcett,David,Julian,David,D.J.,(02) 6277 3418,(02) 6277 5964,,SA,LP,MALE,,"Commonwealth Parliament Offices, Suite 4, Level 13",100 King William Street,Adelaide,SA,5000,(08) 8205 1040,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator the Hon,Senator,Fierravanti-Wells,Concetta,,Concetta,C.,(02) 6277 3098,(02) 6277 5908,,NSW,LP,FEMALE,,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,(02) 4226 1700,PO Box 886,Wollongong,NSW,2520,
Senator the Hon,Senator,Fifield,Mitchell,Peter,Mitch,M. P.,(02) 6277 3250,,,VIC,LP,MALE,,42 Florence Street,,Mentone,VIC,3194,(03) 9584 2455,42 Florence Street,Mentone,VIC,3194,
Senator,Senator,Gallacher,Alexander,McEachian,Alex,A. M.,(02) 6277 3450,(02) 6277 5966,,SA,ALP,MALE,,265 Churchill Road,,Prospect,SA,5082,(08) 8269 6022,265 Churchill Road,Prospect,SA,5082,
Senator,Senator,Gallagher,Katy,,Katy,K.,(02) 6277 3456,,,ACT,ALP,FEMALE,,"Unit A, Ground Floor, Law Society Building",11 London Circuit,Canberra,ACT,2601,02) 6230 0411,"Unit A, Ground Floor, Law Society Building, 11 London Circuit",Canberra,ACT,2601,"Shadow Minister for Finance, Shadow Minister for the Public Service, Manager of Opposition Business in the Senate"
Senator,Senator,Green,Nita,Louise,Nita,N.L.,(02) 6277 3580,,,QLD,ALP,FEMALE,,"Suite 1.09 and Suite 1.11, Bolands Centre",14 Spence Street,Cairns,QLD,4870,(07) 4080 7366,PO Box 4716 Cairns Post Office,Cairns,QLD,4870,
Senator,Senator,Griff,Stirling,,Stirling,S.,(02) 6277 3128,(02) 6277 5787,,SA,CA,MALE,,"Level 3, 27 Leigh Street",,Adelaide,SA,5000,(08) 8212 1409,PO Box 8117,Adelaide,SA,5000,
Senator,Senator,Hanson,Pauline,Lee,Pauline,P.L.,(02) 6277 3184,(02) 6277 5805,,QLD,PHON,FEMALE,,"Suite 6, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 7644,GPO Box 228,Brisbane,QLD,4001,
