Title,Salutation,Surname,First Name,Other Names,Preferred Name,Initials,State,Political Party,Gender,Honorific,Parliament House Address,PO Box,Suburb,City,Postcode,Parliamentary Title
Senator the Hon,Senator,Abetz,Eric,,Eric,E.,TAS,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Antic,Alexander,,Alex,A.,SA,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Askew,Wendy,Anne,Wendy,W.A.,TAS,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Ayres,Timothy,,Tim,T.,NSW,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Bernardi,Cory,,Cory,C.,SA,IND,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Bilyk,Catryna,Louise,Catryna,C. L.,TAS,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Birmingham,Simon,John,Simon,S. J.,SA,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Minister for Trade, Tourism and Investment, Deputy Leader of the Government in the Senate"
Senator,Senator,Bragg,Andrew,James,Andrew,A.J.,NSW,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Brockman,Slade,William Edward,Slade,S.,WA,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Government Whip in the Senate
Senator,Senator,Brown,Carol,Louise,Carol,C. L.,TAS,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Canavan,Matthew,James,Matthew,M.J.,QLD,Nats,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Minister for Resources and Northern Australia
Senator the Hon,Senator,Carr,Kim,John,Kim,K. J.,VIC,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Cash,Michaelia,Clare,Michaelia,M.C.,WA,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Minister for Employment, Skills, Small and Family Business"
Senator,Senator,Chandler,Claire,,Claire,C.,TAS,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Chisholm,Anthony,,Anthony,A.,QLD,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Ciccone,Raff,,Raff,R.,VIC,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Opposition Whip in the Senate
Senator the Hon,Senator,Colbeck,Richard,Mansell,Richard,R.M.,TAS,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Minister for Aged Care and Senior Australians, Minister for Youth and Sport"
Senator the Hon,Senator,Cormann,Mathias,Hubert Paul,Mathias,M.H.P.,WA,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Minister for Finance, Vice-President of the Executive Council, Leader of the Government in the Senate"
Senator,Senator,Davey,Perin,McGregor,Perin,P.M.,NSW,NATS,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,The Nationals Whip in the Senate
Senator,Senator,Di Natale,Richard,,Richard,R.,VIC,AG,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Leader of the Australian Greens
Senator,Senator,Dodson,Patrick,,Patrick,P.,WA,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Duniam,Jonathon,Roy,Jonathon,J.R.,TAS,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Assistant Minister for Forestry and Fisheries, Assistant Minister for Regional Tourism"
Senator the Hon,Senator,Farrell,Donald,Edward,Don,D. E.,SA,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Faruqi,Mehreen,,Mehreen,M.,NSW,AG,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Fawcett,David,Julian,David,D.J.,SA,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Fierravanti-Wells,Concetta,,Concetta,C.,NSW,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Fifield,Mitchell,Peter,Mitch,M. P.,VIC,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Gallacher,Alexander,McEachian,Alex,A. M.,SA,ALP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Gallagher,Katy,,Katy,K.,ACT,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Shadow Minister for Finance, Shadow Minister for the Public Service, Manager of Opposition Business in the Senate"
Senator,Senator,Green,Nita,Louise,Nita,N.L.,QLD,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Griff,Stirling,,Stirling,S.,SA,CA,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Hanson,Pauline,Lee,Pauline,P.L.,QLD,PHON,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Hanson-Young,Sarah,Coral,Sarah,S.C.,SA,AG,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Hughes,Hollie,Alexandra,Hollie,H.A.,NSW,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,Hume,Jane,,Jane,J.,VIC,LP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Assistant Minister for Superannuation, Financial Services and Financial Technology"
Senator the Hon,Senator,Keneally,Kristina,Kerscher,Kristina,K.K.,NSW,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Leader of the Opposition in the Senate
Senator,Senator,Kitching,Kimberley,,Kimberley,K.,VIC,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Lambie,Jacqui,,Jacqui,J.,TAS,JLN,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,Lines,Susan,,Sue,S.,WA,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Deputy President, Chair of Committees"
Senator,Senator,McAllister,Jennifer,Ryll,Jenny,J.R.,NSW,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator,Senator,McCarthy,Malarndirri,,Malarndirri,M.,NT,ALP,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Opposition Whip in the Senate
Senator,Senator,McDonald,Susan,Eileen,Susan,S.M.,QLD,Nats,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,
Senator the Hon,Senator,McGrath,James,,James,J.,QLD,LP,MALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,Deputy Government Whip in the Senate
Senator the Hon,Senator,McKenzie,Bridget,,Bridget,B.,VIC,Nats,FEMALE,,The Senate,PO Box 6100 Parliament House,Canberra,ACT,2600,"Leader of The Nationals, Minister for Agriculture"
